TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,3384993,HOSPITAL MUNICIPAL DE GRANJEIRO,Pequeno,-6.889104799999999,-39.2255098,13.244766501687463
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2425343,HOSP MATERN GERALDO L BOTELHO,Pequeno,-7.039834011970959,-39.27653970233924,27.400660553346146
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2499029,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,Medio,-6.6072928,-39.0651707,33.09056753224849
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562154,HOSP MATERN JOAO FERREIRA GOMES,Pequeno,-3.6817330937815633,-39.58909234126292,0.4274410233077721
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562146,HOSPITAL MUNICIPAL ROQUE SILVA MOTA,Pequeno,-3.675980365431492,-39.58484718363126,0.9574252956315653
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2560836,HOSP MUNIC ANTONIO NERY FILHO,Pequeno,-3.625982250778792,-39.50708121988825,10.940479953688433
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2373475,HOSPITAL DE BARREIRA,Pequeno,-4.279981753263235,-38.63631880308223,1.0790650441612981
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2664666,HOSP MATERN PAULO SARASATE,Medio,-4.224501286840884,-38.72827271402963,11.979238061656849
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2554755,HOSPITAL MUNICIPAL DE CHOROZINHO,Pequeno,-4.300184799999999,-38.49822200000001,15.914547408627813
Intercorrencia,231290,"SOBRAL, CE",20,7,0.35,3,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,1.0606934861613004
Intercorrencia,231290,"SOBRAL, CE",20,7,0.35,3,2426579,HOSPITAL MUNICIPAL ESTEVAM PONTE,Medio,-3.683624787915495,-40.346592550942376,1.06734417759398
Intercorrencia,231290,"SOBRAL, CE",20,7,0.35,3,6848710,HOSPITAL REGIONAL NORTE,Grande,-3.67692037010037,-40.36864234828256,1.6141089362521137
Intercorrencia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,0.5208707287435445
Intercorrencia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2561433,HOSPITAL E MAT VENANCIO RAIM DE SOUSA,Pequeno,-4.09782161048785,-38.48728330729509,8.789788697178157
Intercorrencia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2554755,HOSPITAL MUNICIPAL DE CHOROZINHO,Pequeno,-4.300184799999999,-38.49822200000001,14.615548859799754
Intercorrencia,231130,"QUIXADA, CE",10,7,0.7,4,2328399,HOSPITAL E MATERNIDADE JESUS MARIA JOSE HMJMJ,Medio,-4.9669795,-39.0245184,0.9437468049040196
Intercorrencia,231130,"QUIXADA, CE",10,7,0.7,4,2328070,HOSPITAL MATERNIDADE PE JOSE BEZERRA FILHO,Pequeno,-4.855342347186748,-39.133840235433446,18.11686179951042
Intercorrencia,231130,"QUIXADA, CE",10,7,0.7,4,2664372,HOSPITAL MUNICIPAL ANTONIO CAVALCANTE DE QUEIROZ,Pequeno,-4.820369682908894,-38.82676823646113,26.668165813714484
Intercorrencia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,0.5041211401348925
Intercorrencia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2333880,HOSP MATERN ANT ADERALDO CASTELO,Pequeno,-5.74745594232208,-39.63152567670205,33.93272466953569
Intercorrencia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2479028,CASA DE SAUDE ADILIA MARIA,Medio,-5.125235399999999,-39.729597,36.60943107669526
Intercorrencia,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2479710,HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO,Pequeno,-3.2743437241450235,-39.26517784010534,0.5560564948589359
Intercorrencia,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2561891,HOSP OTACILIO BARBOSA DOS SANTOS,Pequeno,-3.4357096169395014,-39.14854113639552,22.002843011947853
Intercorrencia,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2562391,SANTA CASA DE PARACURU,Pequeno,-3.413251764447116,-39.03803798739601,29.662125784614894
Intercorrencia,230100,"AQUIRAZ, CE",7,7,1.0,1,2561395,HOSP GERAL MANUEL ASSUNCAO PIRES,Pequeno,-3.9049958,-38.3841268,0.39807293496522705
Intercorrencia,230100,"AQUIRAZ, CE",7,7,1.0,1,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,9.899431662621165
Intercorrencia,230100,"AQUIRAZ, CE",7,7,1.0,1,2333848,HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,Pequeno,-3.8321166,-38.4801848,13.1836812117101
Intercorrencia,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,Medio,-5.1971286331511,-39.29598169121193,0.13908210214405595
Intercorrencia,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,2328380,HOSPITAL REGIONAL DR PONTES NETO,Medio,-5.1954883,-39.3117054,1.8181058001555508
Intercorrencia,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,4.108437726677452
Intercorrencia,230140,"ARATUBA, CE",6,6,1.0,1,2333856,HOSP MATERN WALDEMAR ALCANTARA,Pequeno,-4.305569544062552,-38.99715657346765,13.793133266135959
Intercorrencia,230140,"ARATUBA, CE",6,6,1.0,1,2561034,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE,Pequeno,-4.465712992413828,-38.9038763017703,16.614974323461084
Intercorrencia,230140,"ARATUBA, CE",6,6,1.0,1,2333716,HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,Medio,-4.3278553,-38.8824123,20.84127535949763
