TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM,LAT_MUNICIPIO,LON_MUNICIPIO
Cirurgia,230100,"AQUIRAZ, CE",7,7,1.0,1,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,13.1836812117101,-3.906286399999999,-38.3874738
Cirurgia,230195,"BARREIRA, CE",8,8,1.0,1,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,45.63940835133824,-4.2883444,-38.6412559
Cirurgia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,42.12446765310631,-4.1311575,-38.2470491
Cirurgia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2528843,HOSPITAL DISTRITAL DR FERNANDES TAVORA,Grande,-3.7126897010388378,-38.5729448506617,10.021332929719508,-3.7281443,-38.6619214
Cirurgia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,6.930482449675582,-3.8890009,-38.4546539
Cirurgia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,-3.7342646700838658,-38.531428645384175,0.5191363965634715,-3.7327203,-38.5270134
Cirurgia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,14.717086367823185,-3.9717463,-38.52959999999999
Cirurgia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,85.72954434182108,-3.6844551,-39.58637239999999
Cirurgia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,89.18104096235692,-3.4947131,-39.5803861
Cirurgia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,1.1579863344254673,-3.8682838,-38.6264568
Cirurgia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,6.891088864263658,-3.8917126,-38.6841701
Cirurgia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,37.285996334282366,-4.1733126,-38.4637749
Cirurgia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,58.67244342296599,-5.4542087,-39.716378
Cirurgia,231130,"QUIXADA, CE",10,7,0.7,4,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,36.195215420780606,-4.9684385,-39.0161259
Cirurgia,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,4.108437726677452,-5.1982962,-39.2955312
Cirurgia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,135.41131036369504,-4.9414188,-37.976262
Cirurgia,231290,"SOBRAL, CE",20,7,0.35,3,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,1.0606934861613004,-3.6844057,-40.35617939999999
Cirurgia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2481073,HOSPITAL SAO LUCAS,Grande,-5.182763636489275,-40.66716290409968,100.11767259298806,-6.0032698,-40.2946389
Cirurgia,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2528843,HOSPITAL DISTRITAL DR FERNANDES TAVORA,Grande,-3.7126897010388378,-38.5729448506617,91.06773643597474,-3.2781386,-39.2684399
Cirurgia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,6779522,HOSPITAL REGIONAL DO CARIRI,Grande,-7.2263193,-39.3254599,48.126315957092174,-6.7943548,-39.2982103
