MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,PERC_PARA_SOBRECARREGADO
230060,"ALTANEIRA, CE",1,0,1,0.0
230125,"ARARENDA, CE",1,0,1,0.0
230170,"AURORA, CE",1,0,1,0.0
230230,"BELA CRUZ, CE",1,0,1,0.0
230300,"CARIDADE, CE",1,0,1,0.0
230310,"CARIRE, CE",1,0,1,0.0
230380,"CEDRO, CE",1,0,1,0.0
230423,"CROATA, CE",1,0,1,0.0
230480,"GRANJEIRO, CE",1,0,1,0.0
230533,"IBICUITINGA, CE",1,0,1,0.0
230655,"ITAREMA, CE",1,0,1,0.0
230660,"ITATIRA, CE",1,0,1,0.0
230800,"MASSAPE, CE",1,0,1,0.0
230945,"OCARA, CE",1,0,1,0.0
230980,"PACOTI, CE",1,0,1,0.0
231190,"SABOEIRO, CE",1,0,1,0.0
231195,"SALITRE, CE",1,0,1,0.0
231210,"SANTANA DO CARIRI, CE",1,0,1,0.0
231370,"UMARI, CE",1,0,1,0.0
231380,"URUBURETAMA, CE",1,0,1,0.0
