MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,PERC_PARA_SOBRECARREGADO,MUNICIPIO_NORM,LAT_MUNICIPIO,LON_MUNICIPIO
231335,"TEJUCUOCA, CE",2,2,1,1.0,"TEJUCUOCA, CE",-3.9891072,-39.5790522
230280,"CANINDE, CE",13,1,3,0.07692307692307693,"CANINDE, CE",-4.3580483,-39.3137344
231340,"TIANGUA, CE",6,1,3,0.16666666666666666,"TIANGUA, CE",-3.730929199999999,-40.9927503
230220,"BEBERIBE, CE",4,1,2,0.25,"BEBERIBE, CE",-4.1828786,-38.1300362
231320,"TAMBORIL, CE",4,1,2,0.25,"TAMBORIL, CE",-4.8331595,-40.3212536
230260,"CAMOCIM, CE",3,1,3,0.3333333333333333,"CAMOCIM, CE",-2.9008418,-40.84209999999999
230950,"OROS, CE",3,1,2,0.3333333333333333,"OROS, CE",-6.242852699999999,-38.9141055
231230,"SAO BENEDITO, CE",3,1,3,0.3333333333333333,"SAO BENEDITO, CE",-4.0449071,-40.8651372
231300,"SOLONOPOLE, CE",3,1,2,0.3333333333333333,"SOLONOPOLE, CE",-5.733074999999999,-39.0099963
230210,"BATURITE, CE",2,1,2,0.5,"BATURITE, CE",-4.3313286,-38.8789563
230670,"JAGUARETAMA, CE",2,1,2,0.5,"JAGUARETAMA, CE",-5.6092555,-38.7629945
230690,"JAGUARIBE, CE",2,1,2,0.5,"JAGUARIBE, CE",-5.8927263,-38.6219897
230763,"MADALENA, CE",2,1,2,0.5,"MADALENA, CE",-4.852037,-39.5746425
230860,"MONSENHOR TABOSA, CE",2,1,2,0.5,"MONSENHOR TABOSA, CE",-4.790514,-40.0635244
230900,"MUCAMBO, CE",2,1,2,0.5,"MUCAMBO, CE",-3.9056382,-40.7450185
230970,"PACATUBA, CE",2,1,2,0.5,"PACATUBA, CE",-3.918004,-38.603557
231020,"PARACURU, CE",2,1,2,0.5,"PARACURU, CE",-3.4104618,-39.03015329999999
130260,"MANAUS, AM",1,1,1,1.0,"MANAUS, AM",,
230075,"AMONTADA, CE",1,1,1,1.0,"AMONTADA, CE",-3.3618012,-39.8308597
230090,"APUIARES, CE",1,1,1,1.0,"APUIARES, CE",-3.9465407,-39.4304926
230150,"ARNEIROZ, CE",1,1,1,1.0,"ARNEIROZ, CE",-6.3235962,-40.1609592
230360,"CATARINA, CE",1,1,1,1.0,"CATARINA, CE",-6.133574485958487,-39.87880122467274
230365,"CATUNDA, CE",1,1,1,1.0,"CATUNDA, CE",-4.649025,-40.1999281
230465,"GRACA, CE",1,1,1,1.0,"GRACA, CE",-4.0467078,-40.7526274
230520,"HIDROLANDIA, CE",1,1,1,1.0,"HIDROLANDIA, CE",-4.4073419,-40.4040465
230610,"IRAUCUBA, CE",1,1,1,1.0,"IRAUCUBA, CE",-3.7453692,-39.8373336
230910,"MULUNGU, CE",1,1,1,1.0,"MULUNGU, CE",-4.3037643,-38.9947042
231250,"SAO JOAO DO JAGUARIBE, CE",1,1,1,1.0,"SAO JOAO DO JAGUARIBE, CE",-5.2695453,-38.2720868
231355,"TURURU, CE",1,1,1,1.0,"TURURU, CE",-3.5983777,-39.4348641
231360,"UBAJARA, CE",1,1,1,1.0,"UBAJARA, CE",-3.8532113,-40.9195926
230810,"MAURITI, CE",15,0,3,0.0,"MAURITI, CE",-7.382949299999999,-38.7716665
230190,"BARBALHA, CE",12,0,2,0.0,"BARBALHA, CE",-7.3093625,-39.3034585
230030,"ACOPIARA, CE",6,0,1,0.0,"ACOPIARA, CE",-6.0931519,-39.4531552
230410,"CRATEUS, CE",5,0,1,0.0,"CRATEUS, CE",-5.17808,-40.6696229
231070,"PENTECOSTE, CE",5,0,2,0.0,"PENTECOSTE, CE",-3.7918801,-39.2709336
231375,"UMIRIM, CE",5,0,3,0.0,"UMIRIM, CE",-3.6781939,-39.3486883
230250,"BREJO SANTO, CE",4,0,2,0.0,"BREJO SANTO, CE",-7.488440600000001,-38.9877226
230320,"CARIRIACU, CE",4,0,2,0.0,"CARIRIACU, CE",-7.0417977,-39.2855054
230830,"MILAGRES, CE",4,0,3,0.0,"MILAGRES, CE",-7.308187999999999,-38.943717
231220,"SANTA QUITERIA, CE",4,0,2,0.0,"SANTA QUITERIA, CE",-4.3356543,-40.15483090000001
230070,"ALTO SANTO, CE",3,0,3,0.0,"ALTO SANTO, CE",-5.5189184,-38.2707613
230530,"IBIAPINA, CE",3,0,2,0.0,"IBIAPINA, CE",-3.9209602,-40.8891614
230580,"IPU, CE",3,0,1,0.0,"IPU, CE",-4.3220187,-40.7092475
230750,"LAVRAS DA MANGABEIRA, CE",3,0,1,0.0,"LAVRAS DA MANGABEIRA, CE",-6.7601077,-39.1233913
230780,"MARCO, CE",3,0,2,0.0,"MARCO, CE",-3.1226167,-40.1506974
230940,"NOVO ORIENTE, CE",3,0,2,0.0,"NOVO ORIENTE, CE",-5.5374178,-40.7736951
230130,"ARARIPE, CE",2,0,1,0.0,"ARARIPE, CE",-7.212032900000001,-40.1354541
230270,"CAMPOS SALES, CE",2,0,2,0.0,"CAMPOS SALES, CE",-7.0743223,-40.37156
230445,"FORTIM, CE",2,0,1,0.0,"FORTIM, CE",-4.4508741,-37.798886
230450,"FRECHEIRINHA, CE",2,0,1,0.0,"FRECHEIRINHA, CE",-3.7596441,-40.8171854
230560,"INDEPENDENCIA, CE",2,0,1,0.0,"INDEPENDENCIA, CE",-5.3947674,-40.3090941
230565,"IPAPORANGA, CE",2,0,2,0.0,"IPAPORANGA, CE",-4.9056926,-40.763547
230570,"IPAUMIRIM, CE",2,0,2,0.0,"IPAUMIRIM, CE",-6.789476899999999,-38.7185133
230840,"MISSAO VELHA, CE",2,0,1,0.0,"MISSAO VELHA, CE",-7.2496697,-39.1454539
230850,"MOMBACA, CE",2,0,1,0.0,"MOMBACA, CE",-5.7419856,-39.6269112
231160,"REDENCAO, CE",2,0,1,0.0,"REDENCAO, CE",-4.2238817,-38.7302215
231200,"SANTANA DO ACARAU, CE",2,0,2,0.0,"SANTANA DO ACARAU, CE",-3.461748,-40.2092243
231325,"TARRAFAS, CE",2,0,2,0.0,"TARRAFAS, CE",-6.684434373496218,-39.75641000446026
230010,"ABAIARA, CE",1,0,1,0.0,"ABAIARA, CE",-7.3468979,-39.0323468
230040,"AIUABA, CE",1,0,1,0.0,"AIUABA, CE",-6.5724452,-40.1232281
230060,"ALTANEIRA, CE",1,0,1,0.0,"ALTANEIRA, CE",-6.9979114,-39.7369162
230125,"ARARENDA, CE",1,0,1,0.0,"ARARENDA, CE",-4.750732,-40.8316704
230170,"AURORA, CE",1,0,1,0.0,"AURORA, CE",-6.94306114239896,-38.967856344139925
230230,"BELA CRUZ, CE",1,0,1,0.0,"BELA CRUZ, CE",-3.0530863,-40.1667241
230300,"CARIDADE, CE",1,0,1,0.0,"CARIDADE, CE",-4.2334945,-39.1921027
230310,"CARIRE, CE",1,0,1,0.0,"CARIRE, CE",-3.9496044,-40.4740505
230380,"CEDRO, CE",1,0,1,0.0,"CEDRO, CE",-6.604877,-39.0611346
230423,"CROATA, CE",1,0,1,0.0,"CROATA, CE",-4.4164058,-40.9072688
230480,"GRANJEIRO, CE",1,0,1,0.0,"GRANJEIRO, CE",-6.889683799999999,-39.21822600000001
230533,"IBICUITINGA, CE",1,0,1,0.0,"IBICUITINGA, CE",-4.9775101,-38.63748
230655,"ITAREMA, CE",1,0,1,0.0,"ITAREMA, CE",-2.9242369,-39.9129274
230660,"ITATIRA, CE",1,0,1,0.0,"ITATIRA, CE",-4.529650699999999,-39.6229976
230800,"MASSAPE, CE",1,0,1,0.0,"MASSAPE, CE",-3.526268,-40.3421014
230945,"OCARA, CE",1,0,1,0.0,"OCARA, CE",-4.4909023,-38.5978284
230980,"PACOTI, CE",1,0,1,0.0,"PACOTI, CE",-4.2254002,-38.9208831
231190,"SABOEIRO, CE",1,0,1,0.0,"SABOEIRO, CE",-6.540717099999999,-39.90627509999999
231195,"SALITRE, CE",1,0,1,0.0,"SALITRE, CE",-7.2828464,-40.4563314
231210,"SANTANA DO CARIRI, CE",1,0,1,0.0,"SANTANA DO CARIRI, CE",-7.1856327,-39.7373633
231370,"UMARI, CE",1,0,1,0.0,"UMARI, CE",-6.6449038,-38.7008723
231380,"URUBURETAMA, CE",1,0,1,0.0,"URUBURETAMA, CE",-3.6210883,-39.50815120000001
