TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM
Tratamento Clinico,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2499029,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,Medio,-6.6072928,-39.0651707,33.09056753224849
Tratamento Clinico,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2554518,HOSPITAL SAO VICENTE FERRER,Medio,-6.755822504665691,-38.95522751414177,38.11322055067615
Tratamento Clinico,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,5077680,HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,Medio,-6.514021899999999,-39.51603619999999,39.37579492118797
Tratamento Clinico,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562138,HOSP MATERN REG VALE DO CURU,Medio,-3.793352047131117,-39.27346932044814,36.770148641609296
Tratamento Clinico,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2427125,HOSP GERAL LUIZA ALCANTARA SILVA,Medio,-3.607021411057896,-38.9621899261819,69.79856772033538
Tratamento Clinico,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2527413,HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,Medio,-4.362193832452204,-39.31369957245525,81.20377319362615
Tratamento Clinico,230195,"BARREIRA, CE",8,8,1.0,1,2664666,HOSP MATERN PAULO SARASATE,Medio,-4.224501286840884,-38.72827271402963,11.979238061656849
Tratamento Clinico,230195,"BARREIRA, CE",8,8,1.0,1,4010779,HOSP MATERN SANTA IZABEL ARACOIABA,Medio,-4.371982,-38.8104556,20.939092872751697
Tratamento Clinico,230195,"BARREIRA, CE",8,8,1.0,1,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,23.151458367984123
Tratamento Clinico,231290,"SOBRAL, CE",20,7,0.35,3,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,1.0606934861613004
Tratamento Clinico,231290,"SOBRAL, CE",20,7,0.35,3,2426579,HOSPITAL MUNICIPAL ESTEVAM PONTE,Medio,-3.683624787915495,-40.346592550942376,1.06734417759398
Tratamento Clinico,231290,"SOBRAL, CE",20,7,0.35,3,6848710,HOSPITAL REGIONAL NORTE,Grande,-3.67692037010037,-40.36864234828256,1.6141089362521137
Tratamento Clinico,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,0.5208707287435445
Tratamento Clinico,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2514710,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,Medio,-4.130368096161592,-38.23726026666231,25.57100357368144
Tratamento Clinico,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2373270,HOSPITAL RAIMUNDO CELIO RODRIGUES,Medio,-3.9824484,-38.619293,27.348683781906356
Tratamento Clinico,231130,"QUIXADA, CE",10,7,0.7,4,2328399,HOSPITAL E MATERNIDADE JESUS MARIA JOSE HMJMJ,Medio,-4.9669795,-39.0245184,0.9437468049040196
Tratamento Clinico,231130,"QUIXADA, CE",10,7,0.7,4,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,36.195215420780606
Tratamento Clinico,231130,"QUIXADA, CE",10,7,0.7,4,2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,Medio,-5.1971286331511,-39.29598169121193,40.09245613034183
Tratamento Clinico,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,0.5041211401348925
Tratamento Clinico,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2479028,CASA DE SAUDE ADILIA MARIA,Medio,-5.125235399999999,-39.729597,36.60943107669526
