CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,HOSPITAL REGIONAL VALE DO JAGUARIBE,-5.119815697481895,-38.148281510879,False
2561417,HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,Medio,HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,-3.744746236949934,-38.55822836414987,False
2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,-3.8218113889269687,-38.4836803296976,False
7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,HOSPITAL REGIONAL DO SERTAO CENTRAL,-5.1832747,-39.2616355,False
6848710,HOSPITAL REGIONAL NORTE,Grande,HOSPITAL REGIONAL NORTE,-3.67692037010037,-40.36864234828256,False
2499363,HGCC HOSPITAL GERAL DR CESAR CALS,Grande,HGCC HOSPITAL GERAL DR CESAR CALS,-3.726173,-38.5335661,False
2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,HOSPITAL GERAL DR WALDEMAR ALCANTARA,-3.8321166,-38.4801848,False
6779522,HOSPITAL REGIONAL DO CARIRI,Grande,HOSPITAL REGIONAL DO CARIRI,-7.2263193,-39.3254599,False
2563681,HIAS HOSPITAL INFANTIL ALBERT SABIN,Grande,HIAS HOSPITAL INFANTIL ALBERT SABIN,-3.7627591,-38.5317896,False
2479907,H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,Medio,H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,-3.7341816,-38.5378262,False
2497654,HGF HOSPITAL GERAL DE FORTALEZA,Especial,HGF HOSPITAL GERAL DE FORTALEZA,-3.7401048,-38.4759043,False
0086673,HOSPITAL ESTADUAL LEONARDO DA VINCI,Grande,HOSPITAL ESTADUAL LEONARDO DA VINCI,-3.7400923,-38.5100378,False
2516632,HOSP DR MOURA FERREIRA,Medio,HOSP DR MOURA FERREIRA,-2.8857993844743963,-40.11621624812955,False
