HOSPITAL,INTERNACOES,CNES,PORTE,THRESHOLD,SOBRECARREGADO
HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,3,2415623,Medio,14.342529949988894,False
HOSP DR MOURA FERREIRA,7,2516632,Medio,14.342529949988894,False
SOCIEDADE HOSPITALAR PE DIONISIO,6,2333813,Pequeno,3.6847943704472943,True
CASA DE SAUDE ADILIA MARIA,4,2479028,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL DE CAMPOS SALES,1,2372517,Pequeno,3.6847943704472943,False
HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,5,2415488,Medio,14.342529949988894,False
HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,5,2796341,Desconhecido,7.294694475021291,False
HOSP MUNIC DONA MARIA MUNIZ,3,2563460,Medio,14.342529949988894,False
HOSPITAL GERAL IGNEZ ANDREAZZA,1,2514729,Medio,14.342529949988894,False
HOSPITAL JOSE MARIA PHILOMENO GOMES,2,2427176,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL JOAQUIM MANOEL OLIVEIRA,3,2526662,Pequeno,3.6847943704472943,False
HOSP PUBLICO MUNICIPAL S QUITERIA,3,2478080,Medio,14.342529949988894,False
HOSP GERAL LUIZA ALCANTARA SILVA,5,2427125,Medio,14.342529949988894,False
HOSPITAL ESTADUAL LEONARDO DA VINCI,1,86673,Grande,234.11877694421602,False
HOSPITAL MATERNIDADE SANTA RITA,1,2527685,Pequeno,3.6847943704472943,False
HOSPITAL MUNICIPAL DE CARIRE,1,7043597,Pequeno,3.6847943704472943,False
HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,1,2724308,Pequeno,3.6847943704472943,False
HOSPITAL PADRE QUILIANO E MATERNIDADE DONA NEUSA HOLANDA,1,2328445,Pequeno,3.6847943704472943,False
HOSPITAL MUNICIPAL DO FORTIM DR WALDEMAR ALCANTARA,2,2372568,Pequeno,3.6847943704472943,False
HOSP MATERN DR JOSE MARIA LEITAO,2,2415658,Pequeno,3.6847943704472943,False
HOSP MATERN LUZIA T DA COSTA,2,2499037,Pequeno,3.6847943704472943,False
HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,4,2328402,Pequeno,3.6847943704472943,True
HOSP MATERN PAULO SARASATE,2,2664666,Medio,14.342529949988894,False
HOSP MATERN MAE TOTONHA,1,2478994,Pequeno,3.6847943704472943,False
HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,9,2554798,Pequeno,3.6847943704472943,True
HOSP MATERN ANT ADERALDO CASTELO,2,2333880,Pequeno,3.6847943704472943,False
HOSPITAL REGIONAL DO SERTAO CENTRAL,5,7061021,Grande,234.11877694421602,False
HOSPITAL MUNICIPAL MONSENHOR ANTONINO,1,2561352,Pequeno,3.6847943704472943,False
HOSPITAL DISTRITAL MARIA JOSE BARROSO DE OLIVEIRA PARANGABA,2,2516640,Medio,14.342529949988894,False
HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA,2,2651351,Medio,14.342529949988894,False
HOSPITAL REGIONAL NORTE,2,6848710,Grande,234.11877694421602,False
HOSPITAL REGIONAL VALE DO JAGUARIBE,6,9672427,Medio,14.342529949988894,False
HOSP MATERN MENINO JESUS DE PRAGA,2,2479818,Pequeno,3.6847943704472943,False
HOSPITAL MUNICIPAL SANTA ROSA DE LIMA,1,2527677,Pequeno,3.6847943704472943,False
HOSPITAL E MATERNIDADE FRANCISCO RAIMUNDO MARCOS,1,2561441,Pequeno,3.6847943704472943,False
CASA DE SAUDE MATERNIDADE CELESTINA COLARES,1,2527693,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL DOUTOR AMADEU SA,1,2611295,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL DRA FRANCY FROTA,1,2554658,Pequeno,3.6847943704472943,False
HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,2,2723255,Medio,14.342529949988894,False
