CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
2724359,HOSP MUNIC SANTO ANTONIO,Pequeno,HOSP MUNIC SANTO ANTONIO,-7.172171273676854,-38.77510437133115,False
2333716,HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,Medio,HOSPITAL E MATERNIDADE JOSE PINTO DO CARMO,-4.3278553,-38.8824123,False
2372819,HOSPITAL MUNICIPAL MONSENHOR DOURADO,Medio,HOSPITAL MUNICIPAL MONSENHOR DOURADO,-4.181112008182183,-38.13127361007147,False
2563487,HOSPITAL MUNICIPAL DE BELA CRUZ,Pequeno,HOSPITAL MUNICIPAL DE BELA CRUZ,-3.0530863,-40.1667241,False
2479028,CASA DE SAUDE ADILIA MARIA,Medio,CASA DE SAUDE ADILIA MARIA,-5.125235399999999,-39.729597,False
2480646,IMTAVI,Medio,IMTAVI,-7.485829499999999,-38.9839332,False
2611635,INCRI,Medio,INCRI,-7.487798439365984,-38.990137955863645,False
2480654,CASA DE SAUDE NOSSA SENHORA DE FATIMA,Pequeno,CASA DE SAUDE NOSSA SENHORA DE FATIMA,-7.491084747632713,-38.98612847838612,False
2327945,HOSPITAL DEPUTADO MURILO AGUIAR,Medio,HOSPITAL DEPUTADO MURILO AGUIAR,-2.9008808,-40.8419427,False
2372517,HOSPITAL MUNICIPAL DE CAMPOS SALES,Pequeno,HOSPITAL MUNICIPAL DE CAMPOS SALES,-7.0743223,-40.37156,False
2527413,HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,Medio,HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,-4.362193832452204,-39.31369957245525,False
2561034,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE,Pequeno,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE,-4.465712992413828,-38.9038763017703,False
2611643,HOSPITAL DE PEQUENO PORTE DE CARIDADE,Pequeno,HOSPITAL DE PEQUENO PORTE DE CARIDADE,-4.2290373,-39.1909146,False
7043597,HOSPITAL MUNICIPAL DE CARIRE,Pequeno,HOSPITAL MUNICIPAL DE CARIRE,-3.9482476,-40.4724338,False
2425343,HOSP MATERN GERALDO L BOTELHO,Pequeno,HOSP MATERN GERALDO L BOTELHO,-7.039834011970959,-39.27653970233924,False
2561468,HOSP DR THADEU DE PAULO BRITO,Pequeno,HOSP DR THADEU DE PAULO BRITO,-6.537673829064564,-39.49601994649563,False
2561298,UNID MISTA NOSSA SRA AUXILIADORA,Pequeno,UNID MISTA NOSSA SRA AUXILIADORA,-4.159606996343871,-40.94065942733916,False
2514710,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,Medio,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,-4.130368096161592,-38.23726026666231,False
2333864,HOSPITAL MUNICIPAL DR GENTIL DOMINGUES,Pequeno,HOSPITAL MUNICIPAL DR GENTIL DOMINGUES,-6.13250850508639,-39.87490112838592,False
2561050,HOSPITAL MUNICIPAL DE CATUNDA FRANCISCA GONCALVES DE OLIVEIR,Pequeno,HOSPITAL MUNICIPAL DE CATUNDA FRANCISCA GONCALVES DE OLIVEIR,-4.649025,-40.1999281,False
2562545,HOSP MATERNIDADE SANTA TEREZINHA,Medio,HOSP MATERNIDADE SANTA TEREZINHA,-3.77188570755924,-38.62652155369603,False
2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,HOSP MUN ABELARDO GADELHA DA ROCHA,-3.7391831,-38.6499459,False
2499029,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,Medio,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,-6.6072928,-39.0651707,False
2327953,HOSPITAL MUNICIPAL ELIZETE CARDOSO P PACHECO,Pequeno,HOSPITAL MUNICIPAL ELIZETE CARDOSO P PACHECO,-3.035485780568243,-41.23836095057285,False
2328070,HOSPITAL MATERNIDADE PE JOSE BEZERRA FILHO,Pequeno,HOSPITAL MATERNIDADE PE JOSE BEZERRA FILHO,-4.855342347186748,-39.133840235433446,False
2554755,HOSPITAL MUNICIPAL DE CHOROZINHO,Pequeno,HOSPITAL MUNICIPAL DE CHOROZINHO,-4.300184799999999,-38.49822200000001,False
2479427,HOSPITAL FERNANDO TELES CAMILO,Pequeno,HOSPITAL FERNANDO TELES CAMILO,-3.5518461,-40.6527136,False
2481073,HOSPITAL SAO LUCAS,Grande,HOSPITAL SAO LUCAS,-5.182763636489275,-40.66716290409968,False
2415488,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,Medio,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,-7.2367808,-39.415336,False
2415461,HOSPITAL SANTE CARIRI,Medio,HOSPITAL SANTE CARIRI,-7.231126900544753,-39.40099981603153,False
2415496,HOSPITAL SAO RAIMUNDO,Medio,HOSPITAL SAO RAIMUNDO,-3.7307661,-38.50626099999999,True
2561352,HOSPITAL MUNICIPAL MONSENHOR ANTONINO,Pequeno,HOSPITAL MUNICIPAL MONSENHOR ANTONINO,-4.4151213,-40.9042025,False
2563460,HOSP MUNIC DONA MARIA MUNIZ,Medio,HOSP MUNIC DONA MARIA MUNIZ,-2.921917927927585,-40.18268711683469,False
